user_id,session_id,cart_id,product_id,product_name,quantity,price_per_unit,total_item_price,cart_total,cart_item_count,user_email,cart_last_updated,is_cart_abandoned,last_notification_sent,notification_type,product_stock_status,product_discount,estimated_delivery_date,user_last_action,wishlist_flag,location
286,sess_184566,cart_3623,8787,Laptop,3,203.09,609.27,3655.62,6,user490@example.com,10-01-2024 00:33,0,10-08-2024 05:06,Cart Reminder,Low Stock,0,18-12-2024,Viewed Product,1,"London, UK"
26,sess_531912,cart_9333,2485,Smartphone,2,129.37,258.74,2328.66,9,user361@example.com,12-04-2024 22:46,1,03-08-2024 01:34,Cart Reminder,Low Stock,0,19-12-2024,Wishlist,1,"Berlin, Germany"
33,sess_830540,cart_2962,7293,Tablet,5,175.68,878.4,6148.8,7,user419@example.com,02-05-2024 17:18,1,26-01-2024 11:30,Stock Alert,Low Stock,47.9,14-12-2024,Viewed Product,0,"Berlin, Germany"
431,sess_255923,cart_6238,3513,Laptop,2,392.31,784.62,7061.58,9,user183@example.com,09-11-2024 20:00,1,19-04-2024 14:18,Wishlist Reminder,Low Stock,0,17-12-2024,Viewed Product,1,"Sydney, Australia"
88,sess_872087,cart_7156,8750,Smartphone,5,408.12,2040.6,4081.2,2,user444@example.com,11-09-2024 00:15,1,11-07-2024 08:42,Cart Reminder,Low Stock,33.7,21-12-2024,Wishlist,1,"Berlin, Germany"
456,sess_801358,cart_2040,6526,Tablet,5,334.11,1670.55,1670.55,1,user387@example.com,07-04-2024 02:01,0,21-03-2024 05:40,Cart Reminder,Low Stock,34,21-12-2024,Added to Cart,0,"Sydney, Australia"
131,sess_790226,cart_8521,7172,Wireless Earbuds,3,372.75,1118.25,1118.25,1,user449@example.com,10-04-2024 12:55,1,03-02-2024 02:26,Price Drop,In Stock,0,18-12-2024,Added to Cart,1,"New York, USA"
78,sess_326891,cart_9482,9833,Tablet,1,252.72,252.72,1010.88,4,user82@example.com,21-08-2024 17:38,1,01-05-2024 20:02,Cart Reminder,In Stock,0,19-12-2024,Viewed Product,0,"Sydney, Australia"
328,sess_119656,cart_2415,8258,Smartwatch,4,368.45,1473.8,10316.6,7,user8@example.com,13-05-2024 04:57,0,18-05-2024 12:10,Price Drop,Out of Stock,0,19-12-2024,Added to Cart,1,"Mumbai, India"
336,sess_472333,cart_2805,6499,Tablet,5,168.26,841.3,5889.1,7,user149@example.com,28-07-2024 22:22,0,02-07-2024 15:36,Wishlist Reminder,Low Stock,0,15-12-2024,Viewed Product,1,"Sydney, Australia"
72,sess_240532,cart_2199,7090,Laptop,5,342.36,1711.8,3423.6,2,user399@example.com,11-10-2024 23:54,1,01-04-2024 22:41,Cart Reminder,Out of Stock,25.2,18-12-2024,Viewed Product,1,"Sydney, Australia"
83,sess_768197,cart_7706,9262,Smartwatch,3,326.45,979.35,8814.15,9,user405@example.com,29-07-2024 00:29,0,04-05-2024 15:47,Wishlist Reminder,In Stock,0,17-12-2024,Viewed Product,1,"New York, USA"
26,sess_698869,cart_5601,1933,Smartphone,1,499.72,499.72,3997.76,8,user36@example.com,24-01-2024 16:46,1,18-06-2024 05:38,Stock Alert,In Stock,0,17-12-2024,Wishlist,1,"New York, USA"
131,sess_756641,cart_5595,9630,Laptop,2,300.31,600.62,6006.2,10,user156@example.com,13-08-2024 12:22,0,02-09-2024 15:35,Cart Reminder,Out of Stock,0,21-12-2024,Added to Cart,0,"Sydney, Australia"
137,sess_895411,cart_8826,5185,Smartphone,4,100.76,403.04,2821.28,7,user154@example.com,12-03-2024 23:41,1,14-09-2024 01:16,Stock Alert,Out of Stock,0.9,14-12-2024,Viewed Product,1,"Mumbai, India"
475,sess_693483,cart_4274,2982,Smartphone,5,244.94,1224.7,9797.6,8,user197@example.com,29-09-2024 13:15,1,06-01-2024 05:37,Stock Alert,Low Stock,39.9,19-12-2024,Wishlist,0,"New York, USA"
200,sess_851082,cart_7707,2063,Tablet,3,25.81,77.43,542.01,7,user84@example.com,15-09-2024 06:39,0,09-02-2024 15:22,Stock Alert,In Stock,0,15-12-2024,Viewed Product,0,"Berlin, Germany"
170,sess_150334,cart_2976,8535,Smartwatch,2,336.29,672.58,1345.16,2,user416@example.com,22-06-2024 19:46,1,07-02-2024 22:03,Price Drop,Low Stock,48.6,17-12-2024,Added to Cart,0,"Berlin, Germany"
266,sess_554546,cart_6716,4053,Tablet,2,359.75,719.5,3597.5,5,user441@example.com,14-09-2024 09:07,1,08-07-2024 09:50,Cart Reminder,Low Stock,7.9,22-12-2024,Viewed Product,1,"Berlin, Germany"
495,sess_825507,cart_7640,9204,Smartwatch,2,296.91,593.82,2375.28,4,user35@example.com,24-01-2024 22:38,0,14-07-2024 23:22,Stock Alert,Out of Stock,16.2,16-12-2024,Wishlist,0,"London, UK"
219,sess_948374,cart_9248,4900,Tablet,5,308.49,1542.45,7712.25,5,user371@example.com,23-08-2024 00:04,1,25-03-2024 04:06,Wishlist Reminder,Low Stock,47.9,16-12-2024,Added to Cart,1,"Berlin, Germany"
71,sess_790683,cart_6342,3780,Wireless Earbuds,1,336.6,336.6,1346.4,4,user365@example.com,01-04-2024 09:03,1,25-10-2024 12:04,Stock Alert,In Stock,13,22-12-2024,Wishlist,0,"Berlin, Germany"
496,sess_643644,cart_4389,1160,Smartwatch,2,388.35,776.7,7767,10,user202@example.com,03-01-2024 03:31,0,25-10-2024 22:17,Price Drop,Out of Stock,4.5,20-12-2024,Viewed Product,1,"Berlin, Germany"
422,sess_294394,cart_9958,4064,Smartwatch,1,83.36,83.36,83.36,1,user468@example.com,07-05-2024 07:13,0,01-10-2024 13:19,Wishlist Reminder,Out of Stock,20.7,15-12-2024,Viewed Product,0,"New York, USA"
305,sess_386825,cart_7738,5311,Tablet,1,182.49,182.49,547.47,3,user167@example.com,04-05-2024 00:39,1,02-10-2024 09:59,Cart Reminder,Out of Stock,5.1,15-12-2024,Viewed Product,0,"London, UK"
324,sess_609230,cart_4058,6989,Wireless Earbuds,1,283.12,283.12,1415.6,5,user480@example.com,28-11-2024 01:43,1,15-03-2024 19:28,Price Drop,In Stock,0,22-12-2024,Viewed Product,1,"New York, USA"
442,sess_994857,cart_5110,3138,Smartwatch,2,385.96,771.92,5403.44,7,user352@example.com,21-09-2024 12:29,0,07-01-2024 04:25,Price Drop,Low Stock,0,19-12-2024,Added to Cart,0,"Mumbai, India"
142,sess_882514,cart_4960,8595,Smartphone,3,490.71,1472.13,2944.26,2,user194@example.com,31-05-2024 02:17,1,19-11-2024 22:46,Price Drop,Out of Stock,0,18-12-2024,Wishlist,0,"Sydney, Australia"
5,sess_338136,cart_8378,3616,Tablet,3,255.65,766.95,3067.8,4,user172@example.com,10-07-2024 21:23,0,23-11-2024 04:37,Stock Alert,In Stock,0,15-12-2024,Viewed Product,0,"Berlin, Germany"
233,sess_107259,cart_5626,9686,Tablet,3,436.27,1308.81,3926.43,3,user461@example.com,07-01-2024 15:35,1,10-02-2024 18:05,Stock Alert,Low Stock,0,15-12-2024,Wishlist,0,"Berlin, Germany"
295,sess_277024,cart_5855,3397,Laptop,3,160.17,480.51,1922.04,4,user100@example.com,05-11-2024 08:10,0,19-08-2024 10:08,Price Drop,Out of Stock,21.9,19-12-2024,Added to Cart,1,"New York, USA"
431,sess_913487,cart_4213,9772,Smartwatch,4,162.08,648.32,5186.56,8,user246@example.com,11-02-2024 14:41,0,30-11-2024 00:12,Cart Reminder,In Stock,0,19-12-2024,Viewed Product,0,"Sydney, Australia"
295,sess_686570,cart_2256,3623,Wireless Earbuds,1,348.26,348.26,3482.6,10,user247@example.com,01-01-2024 22:47,1,01-09-2024 12:39,Price Drop,In Stock,0,19-12-2024,Added to Cart,0,"Mumbai, India"
442,sess_754593,cart_6504,5570,Smartwatch,4,399.87,1599.48,12795.84,8,user248@example.com,22-11-2024 10:09,0,21-01-2024 03:51,Price Drop,Out of Stock,4.6,21-12-2024,Added to Cart,0,"Berlin, Germany"
156,sess_409695,cart_8177,2725,Wireless Earbuds,4,272.94,1091.76,8734.08,8,user33@example.com,20-02-2024 17:44,0,10-07-2024 21:04,Stock Alert,In Stock,0,14-12-2024,Wishlist,1,"London, UK"
362,sess_559959,cart_6996,4654,Smartwatch,2,218.29,436.58,1309.74,3,user226@example.com,24-10-2024 12:37,0,19-10-2024 15:27,Stock Alert,In Stock,32.3,19-12-2024,Wishlist,0,"Berlin, Germany"
305,sess_828214,cart_7916,3944,Smartwatch,3,336.84,1010.52,3031.56,3,user12@example.com,29-05-2024 00:26,0,26-03-2024 21:28,Wishlist Reminder,Out of Stock,14,19-12-2024,Wishlist,0,"New York, USA"
262,sess_550632,cart_8441,8646,Smartphone,3,468.07,1404.21,14042.1,10,user56@example.com,09-03-2024 00:56,0,17-04-2024 15:29,Price Drop,In Stock,32.3,20-12-2024,Wishlist,1,"Berlin, Germany"
105,sess_631650,cart_1716,3235,Laptop,4,134.86,539.44,3236.64,6,user87@example.com,18-03-2024 17:38,1,05-07-2024 03:10,Wishlist Reminder,In Stock,23.4,18-12-2024,Added to Cart,1,"London, UK"
441,sess_873784,cart_7387,2653,Smartwatch,4,225.59,902.36,7218.88,8,user101@example.com,27-03-2024 14:54,1,11-06-2024 20:24,Cart Reminder,Low Stock,39.4,20-12-2024,Added to Cart,0,"Sydney, Australia"
491,sess_602964,cart_1865,7236,Tablet,3,287.07,861.21,3444.84,4,user274@example.com,26-11-2024 14:58,0,12-09-2024 07:22,Stock Alert,Out of Stock,0,14-12-2024,Wishlist,1,"New York, USA"
188,sess_678639,cart_4476,9693,Wireless Earbuds,2,274.01,548.02,1096.04,2,user191@example.com,20-04-2024 15:04,0,12-11-2024 01:19,Stock Alert,Out of Stock,17.2,16-12-2024,Viewed Product,0,"Berlin, Germany"
122,sess_733923,cart_5917,7517,Smartphone,5,420.24,2101.2,21012,10,user144@example.com,29-03-2024 09:56,0,15-05-2024 11:46,Price Drop,Out of Stock,25.6,17-12-2024,Added to Cart,0,"New York, USA"
97,sess_253590,cart_7023,7381,Wireless Earbuds,2,104.27,208.54,417.08,2,user339@example.com,26-07-2024 10:47,0,14-06-2024 17:22,Stock Alert,Out of Stock,0,16-12-2024,Wishlist,1,"London, UK"
